group,detailPage,name,subjectId,canton
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349679,Janiak Claude,10.404,BL
V,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366924,Rutschmann Hans,10.019,ZH
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366954,Teuscher Franziska,10.019,BE
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366955,Stump Doris,10.019,AG
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366953,Girod Bastien,10.019,ZH
V,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366948,Killer Hans,10.019,AG
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366952,Jans Beat,10.019,BS
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366959,Girod Bastien,10.019,ZH
RL,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367004,Messmer Werner,10.019,TG
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366496,Kiener Nellen Margret,10.429,BE
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366480,Schenker Silvia,10.429,BS
CEg,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366498,Wehrli Reto,10.429,SZ
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366488,Kiener Nellen Margret,10.429,BE
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366961,Teuscher Franziska,10.019,BE
RL,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366976,Messmer Werner,10.019,TG
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366975,Jans Beat,10.019,BS
RL,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366977,Messmer Werner,10.019,TG
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366991,Lustenberger Ruedi,10.019,LU
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367036,Bäumle Martin,10.019,ZH
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367030,Schmidt Roberto,10.019,VS
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367031,Lustenberger Ruedi,10.019,LU
CEg,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366485,Wehrli Reto,10.429,SZ
RL,/ab/data/d/n/4820/365993/d_n_4820_365993_366444.htm#366446,Cassis Ignazio,10.429,TI
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366474,Tschümperlin Andy,10.427,SZ
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366433,Marra Ada,10.427,VD
V,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366420,Bugnon André,10.427,VD
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366421,Marra Ada,10.427,VD
V,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366431,Bugnon André,10.427,VD
RL,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366490,Müller Philipp,10.427,AG
S,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366467,Tschümperlin Andy,10.427,SZ
RL,/ab/data/d/n/4820/365993/d_n_4820_365993_366418.htm#366468,Müller Philipp,10.427,AG
S,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365406,Sommaruga Carlo,10.077,GE
V,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365432,Stamm Luzi,10.077,AG
RL,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365435,Huber Gabi,10.077,UR
S,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365433,Pardini Corrado,10.077,BE
RL,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365430,Ineichen Otto,10.077,LU
S,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365431,Pardini Corrado,10.077,BE
V,/ab/data/d/n/4820/365094/d_n_4820_365094_365380.htm#365439,Schwander Pirmin,10.077,SZ
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367013,Schmidt Roberto,10.019,VS
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367014,Lustenberger Ruedi,10.019,LU
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367074,Jans Beat,10.019,BS
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367042,Teuscher Franziska,10.019,BE
RL,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367068,Leutenegger Filippo,10.019,ZH
G,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366910,van Singer Christian,10.019,VD
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366920,Maire Jacques-André,10.019,NE
V,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367073,Wobmann Walter,10.019,SO
BD,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367093,Grunder Hans,10.019,BE
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367061,Stöckli Hans,10.019,BE
BD,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367081,Grunder Hans,10.019,BE
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367080,Lustenberger Ruedi,10.019,LU
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367079,Chopard-Acklin Max,10.019,AG
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367092,Schmidt Roberto,10.019,VS
RL,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367086,Wasserfallen Christian,10.019,BE
CEg,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#367120,Bäumle Martin,10.019,ZH
S,/ab/data/d/n/4820/366522/d_n_4820_366522_366686.htm#366946,Nordmann Roger,10.019,VD
G,/ab/data/d/n/4820/367211/d_n_4820_367211_367425.htm#367436,Schelbert Louis,11.028,LU
V,/ab/data/d/n/4820/367211/d_n_4820_367211_367425.htm#367427,Kaufmann Hans,11.028,ZH
S,/ab/data/d/n/4820/367211/d_n_4820_367211_367425.htm#367441,Leutenegger Oberholzer Susanne,11.028,BL
RL,/ab/data/d/n/4820/367211/d_n_4820_367211_367425.htm#367459,Huber Gabi,11.028,UR
CEg,/ab/data/d/n/4820/367211/d_n_4820_367211_367425.htm#367458,Bischof Pirmin,11.028,SO
RL,/ab/data/d/n/4820/362183/d_n_4820_362183_362204.htm#362254,Theiler Georges,11.3759,LU
S,/ab/data/d/n/4820/362183/d_n_4820_362183_362204.htm#362241,Fässler-Osterwalder Hildegard,11.3759,SG
RL,/ab/data/d/n/4820/362183/d_n_4820_362183_362204.htm#362245,Theiler Georges,11.3759,LU
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362204.htm#362330,Rime Jean-François,11.3759,FR
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361804,Perrin Yvan,10.089 10.3889,NE
CEg,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361896,Loepfe Arthur,10.089 10.3889,AI
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361930,Müller Geri,10.089 10.3889,AG
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361921,Lang Josef,10.089 10.3889,ZG
RL,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361923,Müller Walter,10.089 10.3889,SG
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361933,Lang Josef,10.089 10.3889,ZG
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361832,Graber Jean-Pierre,10.089 10.3889,BE
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361934,Lang Josef,10.089 10.3889,ZG
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361835,Grin Jean-Pierre,10.089 10.3889,VD
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361928,Lang Josef,10.089 10.3889,ZG
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361938,Lachenmeier-Thüring Anita,10.089 10.3889,BS
CEg,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361932,Glanzmann-Hunkeler Ida,10.089 10.3889,LU
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361931,Lachenmeier-Thüring Anita,10.089 10.3889,BS
RL,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361940,Eichenberger-Walther Corina,10.089 10.3889,AG
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361941,Müller Geri,10.089 10.3889,AG
RL,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361944,Eichenberger-Walther Corina,10.089 10.3889,AG
S,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362168,Leutenegger Oberholzer Susanne,06.490,BL
V,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362049,Nidegger Yves,06.490,GE
BD,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362170,Gadient Brigitta M.,06.490,GR
V,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362165,Kaufmann Hans,06.490,ZH
S,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362062,Sommaruga Carlo,06.490,GE
RL,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362132,Fluri Kurt,06.490,SO
G,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362161,Wyss Brigit,06.490,SO
V,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362169,Schwander Pirmin,06.490,SZ
S,/ab/data/d/n/4820/360838/d_n_4820_360838_361005.htm#361103,Schenker Silvia,10.484,BS
RL,/ab/data/d/n/4820/360838/d_n_4820_360838_361005.htm#361104,Müller Philipp,10.484,AG
S,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365487,Leutenegger Oberholzer Susanne,11.028,BL
V,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365485,Kaufmann Hans,11.028,ZH
RL,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365486,Müller Philipp,11.028,AG
S,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365506,Leutenegger Oberholzer Susanne,11.028,BL
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361959,Borer Roland F.,10.089 10.3889,SO
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361947,Chopard-Acklin Max,10.089 10.3889,AG
